Jour;Catégorie client;Puissance moyenne journalière (W)
2020-06-17;PME / PMI;4393152666.0
2020-06-17;Professionnels;3571962769.0
2020-06-16;PME / PMI;4404309148.0
2020-06-10;Professionnels;3602403329.0
2020-06-08;Entreprises;11736947094.0
2020-06-08;PME / PMI;4082211834.0
2020-06-07;Professionnels;2980704075.0
2020-06-06;Résidentiels;11939098518.0
2020-06-05;PME / PMI;4245821069.0
2020-06-04;Résidentiels;11482374301.0
2020-06-03;PME / PMI;4409214949.0
2020-05-29;Professionnels;3465457741.0
2020-05-25;Professionnels;3298881662.0
2020-05-24;PME / PMI;2750392466.0
2020-05-22;PME / PMI;3260705837.0
2020-05-21;Professionnels;3000170908.0
2020-05-17;Professionnels;3034576353.0
2020-05-16;Entreprises;8543055429.0
2020-05-15;Entreprises;11467698427.0
2020-05-14;Résidentiels;14536237835.0
2020-05-13;Entreprises;12043134828.0
2020-05-09;Résidentiels;12271332677.0
2020-05-07;Résidentiels;12109226779.0
2020-05-06;Résidentiels;12515716427.0
2020-05-05;PME / PMI;3673856820.0
2020-05-04;Résidentiels;13034754829.0
2020-05-01;Professionnels;3136386854.0
2020-04-29;Professionnels;3286964680.0
2020-04-22;Entreprises;11111870170.0
2020-04-21;Professionnels;3301946437.0
2020-04-20;Entreprises;10372015065.0
2020-04-19;PME / PMI;2506605303.0
2020-04-18;Entreprises;8174523839.0
2020-04-18;PME / PMI;2880659074.0
2020-04-17;Résidentiels;12952302135.0
2020-04-14;Résidentiels;14209144061.0
2020-04-12;Résidentiels;13793511885.0
2020-04-10;Entreprises;10346415349.0
2020-04-09;Résidentiels;13436304357.0
2020-04-07;Professionnels;3537613776.0
2020-04-06;PME / PMI;3902416267.0
2020-04-04;Professionnels;3745551220.0
2020-04-01;Résidentiels;21457724485.0
2020-03-28;PME / PMI;3616324136.0
2020-03-27;PME / PMI;4442081692.0
2020-03-26;Entreprises;10922723725.0
2020-03-25;Résidentiels;20695855731.0
2020-03-24;Entreprises;10863549788.0
2020-03-24;Professionnels;3940310553.0
2020-03-22;PME / PMI;3204170778.0
2020-03-17;Résidentiels;18845095771.0
2020-03-15;Professionnels;4258468145.0
2020-03-12;Résidentiels;18699473061.0
2020-03-09;Résidentiels;22101904799.0
2020-03-08;Entreprises;9317976641.0
2020-03-08;Professionnels;4808787846.0
2020-03-06;Résidentiels;23510594169.0
2020-03-06;PME / PMI;6268651759.0
2020-03-05;PME / PMI;6293984645.0
2020-03-03;Entreprises;14699995822.0
2020-03-03;PME / PMI;6426145991.0
2020-03-01;Professionnels;4828262089.0
2020-02-28;Entreprises;14226841442.0
2020-02-23;Résidentiels;21482306887.0
2020-02-21;Résidentiels;22186456834.0
2020-02-19;Professionnels;5684680925.0
2020-02-18;Résidentiels;21604541579.0
2020-02-17;Résidentiels;20496468505.0
2020-02-16;Résidentiels;20641076925.0
2020-02-11;Professionnels;5843065686.0
2020-02-07;Professionnels;6199431427.0
2020-02-06;Professionnels;6177530352.0
2020-02-05;Entreprises;14870676276.0
2020-02-02;PME / PMI;4258918872.0
2020-01-30;Professionnels;6145615616.0
2020-01-28;PME / PMI;6895566384.0
2020-01-27;Entreprises;14389209804.0
2020-01-27;PME / PMI;6765683115.0
2020-01-26;Professionnels;5303630413.0
2020-01-25;Entreprises;10931762154.0
2020-01-24;PME / PMI;7023107652.0
2020-01-23;Entreprises;15454867935.0
2020-01-22;Entreprises;15474068296.0
2020-01-16;Professionnels;5916447573.0
2020-01-13;Résidentiels;24722243892.0
2020-01-06;Professionnels;6392645696.0
2020-01-04;PME / PMI;5400035157.0
2019-12-30;Entreprises;11185567839.0
2019-12-27;Résidentiels;22077225644.0
2019-12-26;PME / PMI;6127815094.0
2019-12-24;PME / PMI;5747048775.0
2019-12-23;Entreprises;11437524380.0
2019-12-22;Professionnels;4938765997.0
2019-12-15;Entreprises;9498603791.0
2019-12-14;Résidentiels;23652183079.0
2019-12-14;Entreprises;10578823006.0
2019-12-12;Professionnels;6680214945.0
2019-12-10;Entreprises;15179368369.0
2019-12-09;Résidentiels;23251690898.0
2019-12-09;PME / PMI;6355383989.0
2019-12-08;PME / PMI;4512440651.0
2019-12-07;Résidentiels;24198211879.0
2019-12-07;Entreprises;10752890118.0
2019-11-29;Entreprises;14051046521.0
2019-11-28;Professionnels;5552612498.0
2019-11-26;Professionnels;5594270856.0
2019-11-24;Professionnels;4820484615.0
2019-11-21;Professionnels;6305626163.0
2019-11-19;PME / PMI;6917916496.0
2019-11-16;Résidentiels;25804706533.0
2019-11-12;Professionnels;5835655652.0
2019-11-10;Entreprises;9180261020.0
2019-11-04;Entreprises;13234956896.0
2019-11-04;Professionnels;4712982747.0
2019-10-30;Résidentiels;16217187083.0
2019-10-29;PME / PMI;5133067430.0
2019-10-28;PME / PMI;5035837233.0
2019-10-27;Résidentiels;15409932094.0
2019-10-25;PME / PMI;4971965034.0
2019-10-24;Résidentiels;14117175283.0
2019-10-24;Professionnels;4494167356.0
2019-10-20;Professionnels;3680566725.0
2019-10-18;PME / PMI;4955254175.0
2019-10-16;Professionnels;4310190057.0
2019-10-09;PME / PMI;5036889015.0
2019-10-08;Professionnels;4311499335.0
2019-10-03;PME / PMI;5076327677.0
2019-09-30;Entreprises;13231758087.0
2019-09-26;Professionnels;3983732223.0
2019-09-24;Professionnels;3932476027.0
2019-09-21;Entreprises;9990044740.0
2019-09-21;PME / PMI;3853738130.0
2019-09-18;Entreprises;14150881506.0
2019-09-17;Professionnels;3988569281.0
2019-09-16;Résidentiels;10701171722.0
2019-09-16;Entreprises;13541650979.0
2019-09-14;PME / PMI;3913452809.0
2019-09-13;Professionnels;4004916448.0
2019-09-06;Professionnels;3883981087.0
2019-09-02;Entreprises;12985978782.0
2019-09-01;Résidentiels;11694367828.0
2019-09-01;PME / PMI;3465175185.0
2019-09-01;Professionnels;3191264425.0
2019-08-30;Entreprises;13832225497.0
2019-08-30;PME / PMI;4815814811.0
2019-08-27;PME / PMI;4923596710.0
2019-08-26;PME / PMI;4782593068.0
2019-08-25;Entreprises;8806346283.0
2019-08-22;Entreprises;12504036610.0
2019-08-21;PME / PMI;4639584591.0
2019-08-13;PME / PMI;4643745178.0
2019-08-11;PME / PMI;3546242440.0
2019-08-06;Résidentiels;10443243849.0
2019-08-04;Résidentiels;11150140204.0
2019-08-03;PME / PMI;4230048818.0
2019-08-02;Entreprises;12537957424.0
2019-07-31;Professionnels;3642057987.0
2019-07-30;Professionnels;3691303476.0
2019-07-29;PME / PMI;4790551462.0
2019-07-26;Résidentiels;11574012993.0
2019-07-26;PME / PMI;5102844422.0
2019-07-24;Entreprises;15440504812.0
2019-07-24;Professionnels;4362524824.0
2019-07-23;Entreprises;15369305533.0
2019-07-21;Professionnels;3290359030.0
2019-07-20;PME / PMI;4331424704.0
2019-07-18;Professionnels;3910171321.0
2019-07-16;PME / PMI;5269025398.0
2019-07-14;Entreprises;9174025449.0
2019-07-07;Entreprises;9576454968.0
2019-07-05;Professionnels;4182453053.0
2019-07-04;PME / PMI;5262892073.0
2019-07-03;PME / PMI;5307496425.0
2019-06-30;PME / PMI;3690804477.0
2019-06-15;Résidentiels;11257865866.0
2019-06-13;Résidentiels;11078745023.0
2019-06-10;PME / PMI;3338974461.0
2019-06-08;Entreprises;9814587876.0
2019-06-07;Résidentiels;10931411707.0
2019-06-07;Entreprises;13402793245.0
2019-05-31;Entreprises;10775931053.0
2019-05-27;Résidentiels;11467529885.0
2019-05-25;Résidentiels;11766126836.0
2019-05-24;Entreprises;13369299830.0
2019-05-24;Professionnels;3918877911.0
2019-05-22;PME / PMI;4838364377.0
2019-05-19;Professionnels;3395571373.0
2019-05-13;Résidentiels;14070698930.0
2019-05-10;Professionnels;4401204173.0
2019-05-08;Résidentiels;15947305955.0
2019-04-30;Entreprises;13452601446.0
2019-04-28;PME / PMI;3662317923.0
2019-04-27;Entreprises;9899579653.0
2019-04-26;Résidentiels;14295089863.0
2019-04-25;Résidentiels;13695331851.0
2019-04-24;Entreprises;13705353872.0
2019-04-16;Résidentiels;16784765850.0
2019-04-15;Entreprises;13342836700.0
2019-04-15;Professionnels;4727051902.0
2019-04-14;Professionnels;4268259493.0
2019-04-13;PME / PMI;4541938573.0
2019-04-11;Entreprises;14236428151.0
2019-04-10;PME / PMI;5556829984.0
2019-04-08;PME / PMI;5643873689.0
2019-04-07;Résidentiels;19715521212.0
2019-04-06;Entreprises;10135488150.0
2019-03-31;PME / PMI;3779162355.0
2019-03-30;Entreprises;9939539559.0
2019-03-29;PME / PMI;5568022061.0
2019-03-27;Entreprises;14373035837.0
2019-03-23;Professionnels;4561306253.0
2019-03-17;Entreprises;9094255527.0
2019-03-15;Entreprises;14106795073.0
2019-03-15;Professionnels;5526060534.0
2019-03-14;PME / PMI;6169308103.0
2019-03-13;Résidentiels;21614500107.0
2019-03-12;PME / PMI;6099253967.0
2019-03-06;Professionnels;5326014399.0
2019-02-26;Résidentiels;18532897240.0
2019-02-26;Entreprises;14383103605.0
2019-02-25;Professionnels;5112214527.0
2019-02-23;Résidentiels;19888263608.0
2019-02-23;Professionnels;4819249245.0
2019-02-20;Entreprises;14726326450.0
2019-02-17;Entreprises;9338288454.0
2019-02-17;PME / PMI;4415902884.0
2019-02-16;Résidentiels;23162495106.0
2019-02-16;Professionnels;5339327623.0
2019-02-10;PME / PMI;4703510303.0
2019-02-08;Professionnels;6288294939.0
2019-02-06;Résidentiels;25528599072.0
2019-02-06;PME / PMI;7075090196.0
2019-02-04;PME / PMI;7386670790.0
2019-02-01;Entreprises;14760111360.0
2019-01-31;Entreprises;15689172662.0
2019-01-30;Professionnels;6796802386.0
2019-01-29;Professionnels;6848983927.0
2019-01-28;Professionnels;6488229053.0
2019-01-25;Professionnels;6981083485.0
2019-01-21;Résidentiels;28865520746.0
2019-01-19;Résidentiels;29181019241.0
2019-01-18;Entreprises;15018675731.0
2019-01-15;PME / PMI;6917104917.0
2019-01-11;PME / PMI;7084618563.0
2019-01-11;Professionnels;6974755391.0
2019-01-09;PME / PMI;6971957519.0
2019-01-09;Professionnels;6642455842.0
2019-01-06;Résidentiels;30013350238.0
2019-01-06;Entreprises;9718117598.0
2018-12-28;Entreprises;11658461654.0
2018-12-28;PME / PMI;6790774740.0
2018-12-27;Entreprises;11806424469.0
2018-12-23;Résidentiels;21409097870.0
2018-12-21;Résidentiels;22740642507.0
2018-12-21;PME / PMI;6241465724.0
2018-12-20;Professionnels;6312841570.0
2018-12-19;Résidentiels;24050963820.0
2018-12-19;Professionnels;6238433738.0
2018-12-18;Résidentiels;25172950291.0
2018-12-17;PME / PMI;6676682203.0
2018-12-15;PME / PMI;5802095933.0
2018-12-15;Professionnels;6465215468.0
2018-12-13;PME / PMI;7104293482.0
2018-12-11;Entreprises;15141860823.0
2018-12-10;Professionnels;5714740731.0
2018-12-09;Résidentiels;22448796238.0
2018-12-07;Entreprises;14109207457.0
2018-12-06;Résidentiels;18519318823.0
2018-12-06;Entreprises;14638842533.0
2018-12-03;Résidentiels;18745019105.0
2018-12-03;PME / PMI;5897674500.0
2018-12-02;PME / PMI;4259966400.0
2018-11-28;Résidentiels;22344566606.0
2018-11-28;Entreprises;14984052727.0
2018-11-28;PME / PMI;6520813375.0
2018-11-28;Professionnels;5923932060.0
2018-11-26;PME / PMI;6650149472.0
2018-11-24;Résidentiels;23304296157.0
2018-11-17;Entreprises;10260768110.0
2018-11-16;Entreprises;14010007582.0
2018-11-16;PME / PMI;5919756425.0
2018-11-16;Professionnels;5310337464.0
2018-11-15;Professionnels;5120550783.0
2018-11-13;PME / PMI;5798763330.0
2018-11-12;Résidentiels;16438392251.0
2018-11-12;PME / PMI;5713881330.0
2018-11-10;Entreprises;10045303479.0
2018-11-10;PME / PMI;4556318042.0
2018-11-06;Résidentiels;16706742439.0
2018-11-02;PME / PMI;5792394017.0
2018-11-01;Entreprises;10816490043.0
2018-11-01;Professionnels;4408308987.0
2018-10-28;PME / PMI;3810952971.0
2018-10-27;Entreprises;10032475065.0
2018-10-24;Professionnels;4488193608.0
2018-10-20;PME / PMI;3899083057.0
2018-10-17;PME / PMI;4936145025.0
2018-10-16;Entreprises;14086971821.0
2018-10-13;Professionnels;3758737626.0
2018-10-09;PME / PMI;5072157145.0
2018-10-05;PME / PMI;4932133289.0
2018-10-02;PME / PMI;5216883613.0
2018-09-29;Professionnels;3718043959.0
2018-09-28;Résidentiels;10823069336.0
2018-09-27;Résidentiels;10892346432.0
2018-09-26;PME / PMI;4891760157.0
2018-09-22;Résidentiels;11199652408.0
2018-09-19;Résidentiels;10419612268.0
2018-09-19;PME / PMI;4829966313.0
2018-09-18;Résidentiels;10199893656.0
2018-09-15;PME / PMI;3921516216.0
2018-09-12;Entreprises;14569361680.0
2018-09-12;Professionnels;3973527124.0
2018-09-07;Professionnels;3932502150.0
2018-09-06;Résidentiels;10296316100.0
2018-09-06;Professionnels;3980448931.0
2018-09-05;Professionnels;3915022213.0
2018-09-03;Résidentiels;10605782559.0
2018-09-02;Professionnels;3099025001.0
2018-09-01;Professionnels;3527838049.0
2018-08-30;Professionnels;3761991214.0
2018-08-29;Résidentiels;10438320271.0
2018-08-28;Professionnels;3820693668.0
2018-08-26;Entreprises;8401124722.0
2018-08-25;Entreprises;9474413766.0
2018-08-22;PME / PMI;4904480555.0
2018-08-17;Résidentiels;10009897474.0
2018-08-16;Résidentiels;10003590748.0
2018-08-15;Entreprises;9835659543.0
2018-08-14;Entreprises;11518754852.0
2018-08-13;PME / PMI;4730508861.0
2018-08-12;PME / PMI;3662533526.0
2018-08-06;Résidentiels;11283168746.0
2018-08-05;PME / PMI;3909429699.0
2018-07-29;Résidentiels;11244019378.0
2018-07-29;PME / PMI;3831619587.0
2018-07-28;PME / PMI;4434105310.0
2018-07-25;Résidentiels;10705621990.0
2018-07-25;Entreprises;14942682354.0
2018-07-25;Professionnels;4124751685.0
2018-07-24;Professionnels;4057636523.0
2018-07-20;PME / PMI;5216787082.0
2018-07-19;Entreprises;14912782081.0
2018-07-16;Entreprises;13869289447.0
2018-07-15;PME / PMI;3845783405.0
2018-07-14;Résidentiels;11182502535.0
2018-07-14;PME / PMI;3910677319.0
2018-07-13;Résidentiels;10280291867.0
2018-07-10;Entreprises;14966436249.0
2018-07-08;Résidentiels;11205850691.0
2018-07-07;Entreprises;10936170166.0
2018-07-06;Entreprises;14469368245.0
2018-07-04;PME / PMI;5284062168.0
2018-06-29;Professionnels;3908109396.0
2018-06-28;PME / PMI;5168408246.0
2018-06-27;Résidentiels;10742821387.0
2018-06-27;Professionnels;3811489698.0
2018-06-25;Résidentiels;10889085247.0
2018-06-24;Résidentiels;11432206485.0
2018-06-24;Professionnels;2868713158.0
2018-06-22;Résidentiels;10445467964.0
2018-06-22;Professionnels;3833319529.0
2018-06-20;Professionnels;3798835129.0
2018-06-17;Résidentiels;11492427491.0
2018-06-08;Résidentiels;10526258842.0
2018-06-07;PME / PMI;4778889239.0
2018-06-05;PME / PMI;4762090538.0
2018-06-04;Entreprises;13328006487.0
2018-06-03;Professionnels;2841340499.0
2018-06-02;PME / PMI;3735567321.0
2018-06-01;PME / PMI;4623574080.0
2018-05-31;Entreprises;14098806975.0
2018-05-28;Résidentiels;11340419019.0
2018-05-26;Entreprises;10169045648.0
2018-05-24;Résidentiels;10993772375.0
2018-05-22;Résidentiels;11105339031.0
2018-05-16;PME / PMI;4879155911.0
2018-05-15;Entreprises;13947168318.0
2018-05-14;Résidentiels;14923409487.0
2018-05-11;Entreprises;10821544803.0
2018-05-09;PME / PMI;4496460195.0
2018-05-06;PME / PMI;3179685119.0
2018-05-05;Résidentiels;13473607243.0
2018-05-04;Résidentiels;14130123956.0
2018-05-02;Entreprises;13147761045.0
2018-05-01;Professionnels;3480065261.0
2018-04-25;Professionnels;3838073082.0
2018-04-24;Résidentiels;11242949611.0
2018-04-24;Entreprises;13842811418.0
2018-04-22;Entreprises;8678034353.0
2018-04-19;Professionnels;3848166880.0
2018-04-18;Professionnels;3974524434.0
2018-04-17;Professionnels;4267620234.0
2018-04-15;Professionnels;3533274620.0
2018-04-14;Résidentiels;16431729462.0
2018-04-07;Entreprises;10195730228.0
2018-04-05;Résidentiels;17844100677.0
2018-04-05;Entreprises;14574856284.0
2018-04-05;PME / PMI;5877072355.0
2018-04-03;PME / PMI;6161802214.0
2018-04-02;Professionnels;4205841022.0
2018-04-01;Résidentiels;22578612084.0
2018-03-31;Résidentiels;22407278763.0
2018-03-30;Entreprises;14202332251.0
2018-03-25;Entreprises;9362013366.0
2018-03-24;Entreprises;10685500862.0
2018-03-23;Professionnels;6360606948.0
2018-03-20;Résidentiels;26969389457.0
2018-03-20;PME / PMI;7254527161.0
2018-03-20;Professionnels;6974853692.0
2018-03-19;Résidentiels;26733773088.0
2018-03-19;PME / PMI;7008456571.0
2018-03-17;Résidentiels;23147892410.0
2018-03-17;Entreprises;10683362545.0
2018-03-13;Entreprises;14899534222.0
2018-03-12;Professionnels;5228922176.0
2018-03-11;Entreprises;9155587761.0
2018-03-11;Professionnels;4158533690.0
2018-03-08;Professionnels;6233467879.0
2018-03-06;Entreprises;14942764432.0
2018-03-04;PME / PMI;4947736779.0
2018-03-03;Professionnels;5960621472.0
2018-02-25;Entreprises;10218511340.0
2018-02-22;Entreprises;15665163793.0
2018-02-21;Entreprises;15475361001.0
2018-02-17;Entreprises;10808844436.0
2018-02-14;Résidentiels;28671724310.0
2018-02-11;PME / PMI;5191427875.0
2018-02-11;Professionnels;5712217135.0
2018-02-10;Entreprises;11341214267.0
2018-02-06;Professionnels;7468792899.0
2018-02-05;Résidentiels;28944551902.0
2018-02-05;PME / PMI;7562107905.0
2018-02-04;Professionnels;5646312802.0
2018-02-03;PME / PMI;5788836232.0
2018-02-02;Entreprises;14918779878.0
2018-02-01;Professionnels;6414638194.0
2018-01-31;Professionnels;6076602027.0
2018-01-27;PME / PMI;5517159056.0
2018-01-26;Entreprises;14516632347.0
2018-01-24;PME / PMI;6488602034.0
2018-01-20;Entreprises;10930557889.0
2018-01-19;Entreprises;14667988642.0
2018-01-18;Professionnels;6370089723.0
2018-01-15;PME / PMI;7114099807.0
2018-01-14;Résidentiels;27241148614.0
2018-01-10;PME / PMI;6499212340.0
2018-01-09;Entreprises;15083964428.0
2018-01-06;Résidentiels;22916244505.0
2018-01-06;PME / PMI;5313052746.0
2018-01-02;Résidentiels;23001812010.0
2018-01-02;Entreprises;12027602506.0
2018-01-01;Entreprises;9091862970.0
2017-12-29;PME / PMI;6892167404.0
2017-12-29;Professionnels;6911850109.0
2017-12-27;Professionnels;6499699675.0
2017-12-23;PME / PMI;5306519007.0
2017-12-20;PME / PMI;6850630028.0
2017-12-20;Professionnels;6863316150.0
2017-12-19;Résidentiels;27172721778.0
2017-12-19;Entreprises;15413872038.0
2017-12-16;Entreprises;11167286454.0
2017-12-16;PME / PMI;5852060217.0
2017-12-15;PME / PMI;6834351311.0
2017-12-12;PME / PMI;7079165770.0
2017-12-12;Professionnels;6901547573.0
2017-12-09;Entreprises;11403538552.0
2017-12-07;Entreprises;15679901286.0
2017-12-06;PME / PMI;6913725873.0
2017-12-06;Professionnels;6873261335.0
2017-12-05;Professionnels;6883659349.0
2017-12-01;Entreprises;15332601268.0
2017-11-28;Entreprises;15286577447.0
2017-11-28;PME / PMI;6942398358.0
2017-11-22;Entreprises;14774052431.0
2017-11-18;Résidentiels;23672831832.0
2017-11-14;Entreprises;15241801176.0
2017-11-14;Professionnels;6192199793.0
2017-11-10;Professionnels;5748637614.0
2017-11-09;Résidentiels;21010261877.0
2017-11-09;Professionnels;6018429190.0
2017-11-04;Résidentiels;16810501711.0
2017-11-04;PME / PMI;4287005688.0
2017-11-03;PME / PMI;5169623672.0
2017-11-01;PME / PMI;3691095554.0
2017-10-29;Entreprises;8756789033.0
2017-10-29;PME / PMI;3467501172.0
2017-10-28;Entreprises;10024334577.0
2017-10-28;Professionnels;4060971317.0
2017-10-27;Entreprises;13661458329.0
2017-10-27;PME / PMI;4670249437.0
2017-10-22;PME / PMI;3359313717.0
2017-10-19;Entreprises;14239629657.0
2017-10-17;Entreprises;14227237031.0
2017-10-15;PME / PMI;3107791636.0
2017-10-15;Professionnels;3189581131.0
2017-10-14;Résidentiels;12894030268.0
2017-10-14;Professionnels;3633539818.0
2017-10-13;Professionnels;4213976775.0
2017-10-12;Entreprises;14382952534.0
2017-10-09;Professionnels;4175622707.0
2017-10-08;PME / PMI;3263455625.0
2017-10-07;Entreprises;10032597505.0
2017-10-06;Résidentiels;12745207046.0
2017-10-05;Entreprises;14343037383.0
2017-10-01;Résidentiels;13272605659.0
2017-10-01;Entreprises;8614664969.0
2017-09-30;Résidentiels;12287412322.0
2017-09-27;Résidentiels;11521870208.0
2017-09-25;PME / PMI;4727347815.0
2017-09-23;Résidentiels;12533273836.0
2017-09-19;Professionnels;4441352057.0
2017-09-18;Professionnels;4138874609.0
2017-09-16;Résidentiels;12676938041.0
2017-09-16;PME / PMI;4005915754.0
2017-09-13;Entreprises;14310050562.0
2017-09-06;Entreprises;14174011511.0
2017-09-02;Professionnels;3491233589.0
2017-08-30;PME / PMI;4901768672.0
2017-08-28;Résidentiels;11133067907.0
2017-08-28;PME / PMI;4826434760.0
2017-08-27;Résidentiels;11516445269.0
2017-08-25;PME / PMI;4693965458.0
2017-08-22;PME / PMI;4744285404.0
2017-08-22;Professionnels;3701019887.0
2017-08-16;PME / PMI;4563494221.0
2017-08-14;Résidentiels;10866379196.0
2017-08-11;Entreprises;11073713540.0
2017-08-02;PME / PMI;5119038357.0
2017-07-29;Entreprises;10098892529.0
2017-07-28;Résidentiels;10576889523.0
2017-07-28;PME / PMI;4859181481.0
2017-07-17;Résidentiels;10969397673.0
2017-07-14;Professionnels;2949601001.0
2017-07-13;Entreprises;14558464722.0
2017-07-13;PME / PMI;5063936324.0
2017-07-13;Professionnels;3832923901.0
2017-07-09;Professionnels;3036412001.0
2017-07-05;Résidentiels;10382856565.0
2017-07-02;Résidentiels;11203293790.0
2017-06-30;Résidentiels;10246403208.0
2017-06-27;PME / PMI;5200101956.0
2017-06-24;Résidentiels;11355775516.0
2017-06-22;Résidentiels;11304385397.0
2017-06-20;Résidentiels;11062293861.0
2017-06-20;Professionnels;4136021473.0
2017-06-15;Entreprises;15126299828.0
2017-06-11;Résidentiels;11575953254.0
2017-06-08;PME / PMI;4891772375.0
2017-06-07;Résidentiels;10611265431.0
2017-06-07;Professionnels;3778083655.0
2017-05-31;Professionnels;3715130640.0
2017-05-30;PME / PMI;4795527701.0
2017-05-22;Professionnels;3564061371.0
2017-05-19;Entreprises;13465607225.0
2017-05-18;Entreprises;14054448002.0
2017-05-18;Professionnels;3864589449.0
2017-05-17;Résidentiels;11161822855.0
2017-05-17;Professionnels;3735018971.0
2017-05-11;PME / PMI;5083767900.0
2017-05-06;Professionnels;4001883182.0
2017-05-02;Entreprises;13316757349.0
2017-04-27;Entreprises;14380274196.0
2017-04-26;PME / PMI;5285397550.0
2017-04-24;PME / PMI;4877179914.0
2017-04-24;Professionnels;4142025419.0
2017-04-23;Résidentiels;15961734528.0
2017-04-23;Entreprises;8595888766.0
2017-04-23;PME / PMI;3331706982.0
2017-04-22;Professionnels;4018667578.0
2017-04-21;PME / PMI;4939974992.0
2017-04-18;PME / PMI;5211370090.0
2017-04-18;Professionnels;4602236337.0
2017-04-17;Résidentiels;15435531336.0
2017-04-17;PME / PMI;3450743959.0
2017-04-16;Professionnels;3412418360.0
2017-04-15;Entreprises;9840643713.0
2017-04-14;Résidentiels;13511518477.0
2017-04-12;Professionnels;4231797715.0
2017-04-10;Résidentiels;12498828120.0
2017-04-09;Entreprises;8608315176.0
2017-04-03;Résidentiels;14730246278.0
2017-04-02;Résidentiels;16618732684.0
2017-04-02;PME / PMI;3797938942.0
2017-03-31;Professionnels;4355582890.0
2017-03-29;PME / PMI;5423746360.0
2017-03-21;PME / PMI;5966746652.0
2017-03-19;Résidentiels;18426178301.0
2017-03-19;Professionnels;4031293438.0
2017-03-15;PME / PMI;5552643761.0
2017-03-14;Professionnels;5258088477.0
2017-03-12;Professionnels;4162974705.0
2017-03-08;PME / PMI;6396424541.0
2017-03-07;Professionnels;6234080328.0
2017-03-05;Entreprises;9386458474.0
2017-03-02;PME / PMI;6185428956.0
2017-02-27;Résidentiels;21533474782.0
2017-02-26;Entreprises;9276006092.0
2017-02-26;PME / PMI;4541221630.0
2017-02-26;Professionnels;4778295513.0
2017-02-22;PME / PMI;6011709025.0
2017-02-21;Résidentiels;20112957884.0
